lot_id,tray_id,rta1_tat,hta1_tat,rta2_tat,ocv1_tat,c1_tat,dc1_tat,c2_tat,dc2_tat,c3_tat,dc3_tat,c4_tat,ocv2_tat,pg1_tat,pc1_tat,sa1_tat,socv1_tat,sa2_tat,socv2_tat,sa3_tat,socv3_tat
LOT-104,TRAY-1138,216311,87035,46796,119,3558,405,457,404,1794,3890,3439,118,291,292,42917,5,344734,13,209758,5
LOT-104,TRAY-1140,214953,87088,46625,118,3563,404,453,405,1734,3888,3400,118,290,291,42917,5,344734,13,209759,5
LOT-104,TRAY-1141,214954,87088,46625,118,3562,405,451,404,1695,3890,3400,118,290,290,42905,5,344763,6,209562,5
LOT-104,TRAY-1143,214968,87116,46376,119,3564,404,450,405,1722,3892,3310,118,290,291,42958,8,344103,5,209539,6
LOT-104,TRAY-1148,214199,86466,46933,118,3562,404,448,405,1900,3887,3455,118,291,291,42892,14,345792,5,209391,8
LOT-104,TRAY-1149,214199,86466,46933,118,3546,405,455,405,1750,3884,3424,118,290,291,42958,8,344103,5,209539,6
LOT-104,TRAY-1150,214136,86460,46330,118,3583,404,446,405,1730,3910,3363,118,290,291,42906,5,344763,6,209562,5
LOT-104,TRAY-1151,214136,86459,46329,118,3571,405,453,405,1759,3897,3278,118,280,280,42986,6,344391,8,209653,6
LOT-104,TRAY-1152,214733,87406,45203,119,3570,404,454,405,1718,3895,3424,118,290,290,43024,5,343908,5,209540,6
LOT-104,TRAY-1154,214415,87398,45171,118,3558,405,456,405,2499,3889,4101,118,290,292,42979,6,343801,5,209702,6
LOT-104,TRAY-1156,214853,86487,45912,118,3565,405,445,404,1696,3890,3408,117,291,291,43072,5,344950,8,209400,6
LOT-104,TRAY-1159,214383,86503,46121,119,3563,406,462,405,1701,3912,3418,118,290,291,43032,8,343512,5,210016,6
LOT-104,TRAY-1160,214540,87347,44873,118,3567,405,455,404,1733,3901,3431,118,290,291,43024,5,343909,5,209540,6
LOT-104,TRAY-1161,214539,87346,44872,118,3598,405,449,405,1635,3906,3395,118,290,291,42931,5,345977,5,209727,6
LOT-104,TRAY-1162,214415,87386,45031,117,3564,405,452,404,1690,3893,3332,118,290,291,42943,6,346788,5,209725,6
LOT-104,TRAY-1167,214353,87410,45164,118,3575,406,453,405,1713,3900,3356,117,290,291,42915,5,344396,5,209946,6
LOT-104,TRAY-1168,213410,87348,45021,118,3561,404,457,405,1749,3900,3450,117,290,291,43001,5,346014,6,210085,5
LOT-104,TRAY-1170,213889,86498,45613,119,3579,405,461,405,1698,3894,3419,117,290,290,42937,5,344820,5,209698,6
LOT-104,TRAY-1171,213889,86498,45613,119,3563,404,459,404,1761,3891,3367,118,290,292,43073,5,344949,8,209400,6
LOT-104,TRAY-1173,214252,87531,44961,119,3561,405,453,405,1895,3901,3483,118,280,280,42951,6,344524,5,210209,6
LOT-104,TRAY-1176,214362,87537,44913,119,3563,404,447,404,1829,3890,3460,118,290,290,42934,5,345863,6,210332,6
LOT-104,TRAY-1178,213282,87389,44795,118,3566,405,455,405,1664,3901,3292,117,280,280,42944,6,346789,5,209726,6
LOT-104,TRAY-1179,213283,87389,44796,118,3571,404,451,405,1737,3898,3341,117,290,292,43096,5,344761,5,209496,6
LOT-104,TRAY-1180,213300,87632,44967,118,3564,404,449,405,1707,3893,3392,118,291,291,42872,5,346255,5,209798,6
