tray_id,defect_rate,cell_count,defect_count,c4_temp_avg_mean,c4_temp_avg_std,c4_capa_mean,c4_capa_std,c4_voltage_avg_mean,c4_voltage_avg_std,c4_curr_end_mean,c4_curr_end_std,c4_time_cc_mean,c4_time_cc_std,c4_time_cv_mean,c4_time_cv_std,dt_start_mean,lot_id,rta1_tat,hta1_tat,rta2_tat,ocv1_tat,c1_tat,dc1_tat,c2_tat,dc2_tat,c3_tat,dc3_tat,c4_tat,ocv2_tat,pg1_tat,pc1_tat,sa1_tat,socv1_tat,sa2_tat,socv2_tat,sa3_tat,socv3_tat
TRAY-1049,0.04,25,1,283.0,0.0,4303.76,10.385406427610869,3624.36,4.742362280551703,135.72,0.4582575694955864,2174.12,7.37292343646656,985.0,99.9399819891919,1725205010.0,LOT-100,217001,86521,4431,118,3565,404,453,404,1780,3897,3429,118,290,291,53223,5,355320,5,215112,6
TRAY-1050,0.0,17,0,288.0,0.0,4304.411764705882,5.256648451359015,3619.529411764706,3.7268895720631376,135.94117647058823,0.2425356250363356,2178.235294117647,3.800154795608723,905.9411764705883,75.28485122207131,1725205975.0,LOT-100,217002,86521,4431,118,3564,406,452,405,1794,3895,3397,118,290,290,53284,5,355961,5,214870,5
TRAY-1051,0.0,25,0,283.0,0.0,4266.92,10.96935124183151,3624.84,5.145224322936113,135.76,0.4358898943540668,2150.36,6.486396020390306,1037.36,111.82757560935802,1725206490.0,LOT-101,217596,86634,4338,118,3547,405,458,405,1778,3879,3473,118,290,290,53337,5,356361,5,215232,5
TRAY-1052,0.0,25,0,290.0,0.0,4289.88,13.605513588247893,3624.6,4.7696960070846774,135.84,0.37416573867739467,2166.56,9.069546111392148,989.28,96.28928635454031,1725207440.0,LOT-101,217595,86634,4337,119,3551,405,473,405,1768,3891,3411,118,290,291,53555,5,355112,5,215652,6
TRAY-1053,0.0,25,0,283.0,0.0,4300.12,5.418486873657666,3621.92,5.306599664568631,135.68,0.4760952285695261,2173.4,5.671566509057892,968.32,109.0965627322878,1725208300.0,LOT-100,217449,86462,4421,118,3576,405,447,404,1780,3893,3428,118,290,290,53321,5,355834,5,215603,5
TRAY-1054,0.058823529411764705,17,1,283.0,0.0,4285.529411764706,6.335590413083286,3624.0,3.905124837953294,135.8235294117647,0.3929526239966908,2163.235294117647,3.783672352435924,970.1764705882352,80.19447868628308,1725208845.0,LOT-101,217449,86462,4422,118,3555,404,449,405,1630,3893,3352,118,290,291,54048,5,355160,6,215945,8
TRAY-1055,0.0,25,0,285.0,0.0,4301.72,7.624084644510803,3620.68,4.269270039089465,135.6,0.4999999999999982,2176.44,4.744119166575303,922.16,86.92318447917103,1725209825.0,LOT-100,217471,86476,4201,118,3563,404,452,405,1726,3897,3358,118,291,290,54843,4,355537,5,215567,6
TRAY-1056,0.0,17,0,290.0,0.0,4296.411764705882,7.945587010484369,3621.0588235294117,5.018348685515143,135.76470588235293,0.43723731609760397,2172.8823529411766,3.2573446421352177,934.4117647058823,104.78791606354798,1725210625.0,LOT-100,217472,86476,4201,119,3567,406,461,405,1771,3893,3451,117,290,291,52446,5,355804,6,215281,8
TRAY-1057,0.0,25,0,297.0,0.0,4301.76,12.57736061341956,3622.4,4.778423728943789,135.64,0.4898979485566383,2175.52,8.466207336621656,962.8,101.22664339655509,1725211455.0,LOT-101,217817,86565,4168,119,3577,405,456,405,1671,3915,3405,118,290,290,52446,5,355804,5,215282,9
TRAY-1058,0.11764705882352941,17,2,287.0,0.0,4316.176470588235,15.8951065351795,3625.823529411765,4.680214927191454,135.8235294117647,0.39295262399667996,2179.470588235294,8.42702236156707,1034.235294117647,103.42783076363246,1725212090.0,LOT-101,217817,86566,4168,118,3571,404,456,405,1809,3911,3477,119,290,291,53705,4,355265,6,215114,5
